quarter,town,flat_type,median_rent
2017-Q4,BEDOK,1-RM,na
2017-Q4,BEDOK,2-RM,-
2017-Q4,BEDOK,3-RM,1700
2017-Q4,BEDOK,4-RM,2100
2017-Q4,BEDOK,5-RM,2200
2017-Q4,BEDOK,EXEC,-
2017-Q4,BISHAN,1-RM,na
2017-Q4,BISHAN,2-RM,na
2017-Q4,BISHAN,3-RM,1900
2017-Q4,BISHAN,4-RM,2300
2017-Q4,BISHAN,5-RM,2600
2017-Q4,BISHAN,EXEC,-
2017-Q4,BUKIT BATOK,1-RM,na
2017-Q4,BUKIT BATOK,2-RM,na
2017-Q4,BUKIT BATOK,3-RM,1600
2017-Q4,BUKIT BATOK,4-RM,2000
2017-Q4,BUKIT BATOK,5-RM,2100
2017-Q4,BUKIT BATOK,EXEC,2350
2017-Q4,BUKIT MERAH,1-RM,-
2017-Q4,BUKIT MERAH,2-RM,1500
2017-Q4,BUKIT MERAH,3-RM,1900
2017-Q4,BUKIT MERAH,4-RM,2600
2017-Q4,BUKIT MERAH,5-RM,2850
2017-Q4,BUKIT MERAH,EXEC,na
2017-Q4,BUKIT PANJANG,1-RM,na
2017-Q4,BUKIT PANJANG,2-RM,-
2017-Q4,BUKIT PANJANG,3-RM,1500
2017-Q4,BUKIT PANJANG,4-RM,1700
2017-Q4,BUKIT PANJANG,5-RM,1850
2017-Q4,BUKIT PANJANG,EXEC,2000
2017-Q4,BUKIT TIMAH,1-RM,na
2017-Q4,BUKIT TIMAH,2-RM,na
2017-Q4,BUKIT TIMAH,3-RM,-
2017-Q4,BUKIT TIMAH,4-RM,-
2017-Q4,BUKIT TIMAH,5-RM,-
2017-Q4,BUKIT TIMAH,EXEC,-
2017-Q4,CENTRAL,1-RM,na
2017-Q4,CENTRAL,2-RM,-
2017-Q4,CENTRAL,3-RM,2200
2017-Q4,CENTRAL,4-RM,2750
2017-Q4,CENTRAL,5-RM,-
2017-Q4,CENTRAL,EXEC,na
2017-Q4,CHOA CHU KANG,1-RM,na
2017-Q4,CHOA CHU KANG,2-RM,na
2017-Q4,CHOA CHU KANG,3-RM,-
2017-Q4,CHOA CHU KANG,4-RM,1800
2017-Q4,CHOA CHU KANG,5-RM,1890
2017-Q4,CHOA CHU KANG,EXEC,2100
2017-Q4,CLEMENTI,1-RM,na
2017-Q4,CLEMENTI,2-RM,na
2017-Q4,CLEMENTI,3-RM,1800
2017-Q4,CLEMENTI,4-RM,2400
2017-Q4,CLEMENTI,5-RM,2530
2017-Q4,CLEMENTI,EXEC,-
2017-Q4,GEYLANG,1-RM,na
2017-Q4,GEYLANG,2-RM,-
2017-Q4,GEYLANG,3-RM,1800
2017-Q4,GEYLANG,4-RM,2380
2017-Q4,GEYLANG,5-RM,2530
2017-Q4,GEYLANG,EXEC,-
2017-Q4,HOUGANG,1-RM,na
2017-Q4,HOUGANG,2-RM,na
2017-Q4,HOUGANG,3-RM,1600
2017-Q4,HOUGANG,4-RM,1900
2017-Q4,HOUGANG,5-RM,2100
2017-Q4,HOUGANG,EXEC,2200
2017-Q4,JURONG EAST,1-RM,na
2017-Q4,JURONG EAST,2-RM,na
2017-Q4,JURONG EAST,3-RM,1700
2017-Q4,JURONG EAST,4-RM,2100
2017-Q4,JURONG EAST,5-RM,2300
2017-Q4,JURONG EAST,EXEC,-
2017-Q4,JURONG WEST,1-RM,na
2017-Q4,JURONG WEST,2-RM,na
2017-Q4,JURONG WEST,3-RM,1700
2017-Q4,JURONG WEST,4-RM,2000
2017-Q4,JURONG WEST,5-RM,2200
2017-Q4,JURONG WEST,EXEC,2400
2017-Q4,KALLANG/WHAMPOA,1-RM,na
2017-Q4,KALLANG/WHAMPOA,2-RM,-
2017-Q4,KALLANG/WHAMPOA,3-RM,1900
2017-Q4,KALLANG/WHAMPOA,4-RM,2500
2017-Q4,KALLANG/WHAMPOA,5-RM,2680
2017-Q4,KALLANG/WHAMPOA,EXEC,-
2017-Q4,MARINE PARADE,1-RM,na
2017-Q4,MARINE PARADE,2-RM,na
2017-Q4,MARINE PARADE,3-RM,1800
2017-Q4,MARINE PARADE,4-RM,2200
2017-Q4,MARINE PARADE,5-RM,-
2017-Q4,MARINE PARADE,EXEC,na
2017-Q4,PASIR RIS,1-RM,na
2017-Q4,PASIR RIS,2-RM,na
2017-Q4,PASIR RIS,3-RM,na
2017-Q4,PASIR RIS,4-RM,1900
2017-Q4,PASIR RIS,5-RM,2100
2017-Q4,PASIR RIS,EXEC,2300
2017-Q4,PUNGGOL,1-RM,na
2017-Q4,PUNGGOL,2-RM,-
2017-Q4,PUNGGOL,3-RM,-
2017-Q4,PUNGGOL,4-RM,1800
2017-Q4,PUNGGOL,5-RM,1800
2017-Q4,PUNGGOL,EXEC,-
2017-Q4,QUEENSTOWN,1-RM,na
2017-Q4,QUEENSTOWN,2-RM,1400
2017-Q4,QUEENSTOWN,3-RM,1900
2017-Q4,QUEENSTOWN,4-RM,2600
2017-Q4,QUEENSTOWN,5-RM,2800
2017-Q4,QUEENSTOWN,EXEC,-
2017-Q4,SEMBAWANG,1-RM,na
2017-Q4,SEMBAWANG,2-RM,na
2017-Q4,SEMBAWANG,3-RM,-
2017-Q4,SEMBAWANG,4-RM,1800
2017-Q4,SEMBAWANG,5-RM,1900
2017-Q4,SEMBAWANG,EXEC,2050
2017-Q4,SENGKANG,1-RM,na
2017-Q4,SENGKANG,2-RM,-
2017-Q4,SENGKANG,3-RM,-
2017-Q4,SENGKANG,4-RM,1800
2017-Q4,SENGKANG,5-RM,1900
2017-Q4,SENGKANG,EXEC,2050
2017-Q4,SERANGOON,1-RM,na
2017-Q4,SERANGOON,2-RM,-
2017-Q4,SERANGOON,3-RM,1800
2017-Q4,SERANGOON,4-RM,2200
2017-Q4,SERANGOON,5-RM,2200
2017-Q4,SERANGOON,EXEC,2580
2017-Q4,TAMPINES,1-RM,na
2017-Q4,TAMPINES,2-RM,-
2017-Q4,TAMPINES,3-RM,1700
